AnnexID,Date Order,City,County,Annexation Type,Ordinance Date,Effective Date,Report Date,Authorization Number,Authorization Type,Acreage,Comments,Attachments,OrdDate,EffDate,RepDate,AuthNumber,Acr,Com
304170,17151,Hiram,Paulding,Annex,"08-01-2005	","09-01-2005	","01-00-1900	","131	",Ordinance,"5.533	","Eric W. & Lanette M. Bruner	",,8/1/2005,9/1/2005,1/0/1900,131,5.533,Eric W. & Lanette M. Bruner
304171,17152,Morrow,Clayton,Annex,"07-26-2005	","08-01-2005	","01-00-1900	","2005-7	",Ordinance,"5.973	","	",,7/26/2005,8/1/2005,1/0/1900,2005-7,5.973,
304172,17153,Covington,Newton,Annex,"06-20-2005	","07-01-2005	","01-00-1900	","304172	",Ordinance,"0.99	","	",,6/20/2005,7/1/2005,1/0/1900,304172,0.99,
304173,17154,Hawkinsville,Pulaski,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","2005-1	",Ordinance,"1.15	","	",,6/6/2005,7/1/2005,1/0/1900,2005-1,1.15,
304174,17155,Hawkinsville,Pulaski,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","2005-2	",Ordinance,"1.271	","	",,6/6/2005,7/1/2005,1/0/1900,2005-2,1.271,
304175,17156,Hawkinsville,Pulaski,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","2005-3	",Ordinance,"-	","	",,6/6/2005,7/1/2005,1/0/1900,2005-3,,
304176,17157,Hawkinsville,Pulaski,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","2005-4	",Ordinance,"0.808	","	",,6/6/2005,7/1/2005,1/0/1900,2005-4,0.808,
304177,17158,Jefferson,Jackson,Annex,"05-09-2005	","06-01-2005	","01-00-1900	","2005-02	",Ordinance,"1.5	","Nick Bledsoe-annex 1.5 acres at 1312 Washington St (Rezoning Case R-05-J06)for the purpose of retail sales. Map 67; Parcel 025.	",,5/9/2005,6/1/2005,1/0/1900,2005-02,1.5,Nick Bledsoe-annex 1.5 acres at 1312 Washington St (Rezoning Case R-05-J06)for the purpose of retail sales. Map 67; Parcel 025.
304178,17159,Jefferson,Jackson,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","2005-03	",Ordinance,"11.242	","Chris Wilhite - Annex 11.242 acres at the intersection of Highway 129 bypass and Galilee Church Road (Rezoning Case R-05-J12)for the purpose of commercial use. Map 69; Parcel 35 part.	",,6/13/2005,7/1/2005,1/0/1900,2005-03,11.242,Chris Wilhite - Annex 11.242 acres at the intersection of Highway 129 bypass and Galilee Church Road (Rezoning Case R-05-J12)for the purpose of commercial use. Map 69; Parcel 35 part.
304179,17160,Sandersville,Washington,Annex,"08-01-2005	","09-01-2005	","01-00-1900	","2005-003	",Ordinance,"1.73 + 1.93	","City Tract between SR15 and Waco Mill Rd Sec A & Sec B	",,8/1/2005,9/1/2005,1/0/1900,2005-003,1.73 + 1.93,City Tract between SR15 and Waco Mill Rd Sec A & Sec B
304180,17161,Dallas,Paulding,Annex,"08-01-2005	","09-01-2005	","01-00-1900	","05-25	",Ordinance,"5.004	","	",,8/1/2005,9/1/2005,1/0/1900,05-25,5.004,
304181,17162,Locust Grove,Henry,Annex,"05-23-2005	","06-01-2005	","01-00-1900	","05-05-045	",Ordinance,"158	","I. A. Kahn; et al; 100%; forwarded DOJ ltr on 8/1/05	",,5/23/2005,6/1/2005,1/0/1900,05-05-045,158,I. A. Kahn; et al; 100%; forwarded DOJ ltr on 8/1/05
304182,17163,Locust Grove,Henry,Annex,"05-23-2005	","06-01-2005	","01-00-1900	","05-05-044	",Ordinance,"74.96	","I.A. Kahn; 100%; forwarded DOJ ltr on 8/1/05	",,5/23/2005,6/1/2005,1/0/1900,05-05-044,74.96,I.A. Kahn; 100%; forwarded DOJ ltr on 8/1/05
304183,17164,Locust Grove,Henry,Annex,"05-23-2005	","06-01-2005	","01-00-1900	","05-05-042	",Ordinance,"233.485	","60%; Integrity Park; Integrity Development; Integrity Amenity (all 3 also Terra Colvin; LLC); Life Radio Ministries; Inc.; Gardner; and Donthamsetty Family Limited Partnership; et al.; forwarded DOJ ltr on 8/1/05	",,5/23/2005,6/1/2005,1/0/1900,05-05-042,233.485,60%; Integrity Park; Integrity Development; Integrity Amenity (all 3 also Terra Colvin; LLC); Life Radio Ministries; Inc.; Gardner; and Donthamsetty Family Limited Partnership; et al.; forwarded DOJ ltr on 8/1/05
